Edges in the graph (u, v, w):
(15, 23, 16)
(15, 44, 33)
(15, 58, 24)
(15, 86, 18)
(15, 24, 36)
(15, 74, 33)
(15, 29, 9)
(15, 21, 12)
(15, 82, 42)
(15, 52, 3)
(15, 41, 42)
(15, 49, 43)
(15, 56, 4)
(15, 98, 8)
(15, 92, 31)
(15, 42, 50)
(15, 20, 46)
(15, 61, 40)
(15, 75, 34)
(15, 47, 13)
(15, 30, 32)
(15, 67, 30)
(15, 73, 29)
(15, 78, 24)
(15, 76, 10)
(15, 64, 29)
(15, 33, 23)
(15, 60, 31)
(15, 40, 7)
(15, 45, 13)
(15, 96, 16)
(15, 57, 49)
(15, 46, 25)
(15, 43, 3)
(15, 66, 23)
(15, 22, 46)
(15, 35, 17)
(15, 54, 41)
(15, 90, 2)
(15, 97, 9)
(15, 32, 26)
(15, 85, 2)
(15, 84, 43)
(15, 80, 12)
(15, 70, 10)
(15, 63, 44)
(15, 38, 21)
(15, 81, 2)
(15, 65, 16)
(15, 71, 30)
(15, 34, 5)
(15, 28, 50)
(15, 16, 43)
(15, 95, 49)
(15, 39, 8)
(15, 83, 17)
(15, 79, 44)
(15, 69, 13)
(15, 94, 10)
(15, 77, 7)
(15, 53, 26)
(15, 88, 22)
(15, 25, 37)
(15, 51, 19)
(15, 93, 42)
(15, 26, 13)
(15, 68, 3)
(16, 53, 37)
(16, 90, 38)
(16, 36, 34)
(16, 31, 7)
(16, 68, 33)
(16, 49, 25)
(16, 39, 32)
(16, 33, 3)
(16, 82, 50)
(16, 38, 14)
(16, 29, 22)
(16, 72, 43)
(16, 87, 9)
(16, 51, 34)
(16, 66, 30)
(16, 18, 40)
(16, 59, 10)
(16, 69, 35)
(16, 32, 34)
(16, 17, 46)
(16, 35, 1)
(16, 86, 38)
(16, 45, 22)
(16, 92, 49)
(16, 84, 50)
(16, 79, 6)
(16, 65, 7)
(16, 55, 19)
(16, 73, 13)
(16, 26, 36)
(16, 62, 40)
(16, 96, 13)
(16, 77, 36)
(16, 28, 46)
(16, 94, 38)
(16, 99, 27)
(16, 75, 22)
(16, 42, 15)
(16, 58, 9)
(16, 88, 20)
(16, 47, 20)
(16, 67, 45)
(16, 52, 30)
(16, 23, 39)
(16, 43, 48)
(16, 83, 1)
(16, 70, 50)
(16, 71, 9)
(16, 61, 48)
(16, 97, 46)
(16, 41, 22)
(16, 95, 39)
(16, 19, 38)
(16, 74, 18)
(16, 91, 40)
(16, 80, 9)
(16, 25, 22)
(16, 63, 49)
(16, 60, 44)
(16, 21, 31)
(16, 76, 40)
(16, 34, 46)
(16, 22, 8)
(16, 56, 19)
(16, 37, 31)
(16, 48, 32)
(16, 20, 16)
(16, 85, 36)
(16, 78, 31)
(16, 57, 7)
(16, 93, 47)
(16, 44, 33)
(16, 81, 33)
(16, 24, 39)
(16, 89, 26)
(16, 50, 47)
(16, 64, 25)
(16, 98, 8)
(16, 30, 13)
(16, 27, 19)
(16, 46, 16)
(16, 54, 33)
(16, 40, 19)
(17, 51, 1)
(17, 71, 20)
(17, 74, 24)
(17, 33, 28)
(17, 75, 41)
(17, 53, 26)
(17, 92, 11)
(17, 20, 30)
(17, 78, 39)
(17, 43, 33)
(17, 32, 12)
(17, 59, 36)
(17, 83, 16)
(17, 67, 39)
(17, 60, 34)
(17, 36, 26)
(17, 18, 47)
(17, 73, 47)
(17, 29, 34)
(17, 82, 39)
(17, 49, 1)
(17, 65, 1)
(17, 64, 34)
(17, 42, 38)
(17, 30, 48)
(17, 68, 48)
(17, 62, 44)
(17, 55, 25)
(17, 84, 50)
(17, 25, 50)
(17, 26, 39)
(17, 52, 32)
(17, 50, 6)
(17, 37, 46)
(17, 77, 49)
(17, 90, 36)
(17, 94, 30)
(17, 44, 26)
(17, 87, 9)
(17, 34, 19)
(17, 41, 7)
(17, 97, 30)
(17, 54, 11)
(17, 56, 23)
(17, 91, 15)
(17, 93, 15)
(17, 39, 18)
(17, 22, 37)
(17, 63, 33)
(17, 70, 9)
(17, 95, 18)
(17, 23, 3)
(17, 72, 39)
(17, 58, 27)
(17, 28, 4)
(17, 66, 8)
(17, 85, 20)
(17, 88, 47)
(17, 31, 34)
(17, 46, 13)
(17, 89, 36)
(17, 45, 38)
(17, 35, 40)
(17, 19, 46)
(17, 24, 9)
(17, 21, 25)
(17, 76, 9)
(17, 40, 13)
(17, 98, 46)
(17, 69, 9)
(17, 27, 7)
(17, 61, 24)
(17, 57, 27)
(17, 96, 27)
(17, 81, 12)
(17, 99, 44)
(17, 48, 22)
(17, 80, 19)
(17, 38, 48)
(17, 47, 3)
(17, 86, 30)
(17, 79, 38)
(18, 62, 8)
(18, 81, 46)
(18, 63, 11)
(18, 19, 8)
(18, 54, 42)
(18, 45, 47)
(18, 91, 40)
(18, 23, 48)
(18, 34, 33)
(18, 40, 4)
(18, 28, 3)
(18, 29, 9)
(18, 21, 18)
(18, 50, 37)
(18, 26, 9)
(18, 51, 5)
(18, 78, 34)
(18, 70, 50)
(18, 31, 18)
(18, 72, 20)
(18, 56, 44)
(18, 43, 44)
(18, 60, 18)
(18, 20, 2)
(18, 97, 13)
(18, 94, 3)
(18, 61, 16)
(18, 82, 19)
(18, 27, 36)
(18, 86, 21)
(18, 66, 32)
(18, 41, 7)
(18, 46, 38)
(18, 83, 9)
(18, 69, 25)
(18, 58, 32)
(18, 89, 7)
(18, 47, 37)
(18, 37, 14)
(18, 68, 4)
(18, 49, 7)
(18, 59, 17)
(18, 88, 10)
(18, 85, 36)
(18, 79, 30)
(18, 93, 15)
(18, 99, 24)
(18, 35, 28)
(18, 39, 37)
(18, 38, 35)
(18, 87, 27)
(18, 64, 38)
(18, 96, 26)
(18, 92, 17)
(18, 73, 48)
(18, 57, 8)
(18, 30, 16)
(18, 75, 27)
(18, 84, 23)
(18, 22, 46)
(18, 71, 23)
(18, 90, 46)
(18, 42, 24)
(18, 80, 27)
(18, 25, 44)
(18, 74, 10)
(18, 65, 12)
(18, 76, 33)
(18, 53, 30)
(18, 52, 45)
(18, 24, 21)
(18, 32, 7)
(18, 95, 4)
(18, 77, 16)
(18, 98, 8)
(18, 44, 11)
(18, 67, 24)
(18, 48, 7)
(18, 33, 9)
(18, 55, 21)
(18, 36, 25)
(19, 21, 4)
(19, 51, 25)
(19, 41, 45)
(19, 80, 38)
(19, 48, 22)
(19, 42, 8)
(19, 59, 31)
(19, 25, 47)
(19, 88, 15)
(19, 86, 26)
(19, 91, 35)
(19, 68, 40)
(19, 82, 26)
(19, 65, 5)
(19, 58, 9)
(19, 76, 43)
(19, 54, 20)
(19, 31, 39)
(19, 44, 40)
(19, 61, 6)
(19, 39, 10)
(19, 77, 26)
(19, 63, 50)
(19, 69, 39)
(19, 30, 44)
(19, 46, 13)
(19, 22, 11)
(19, 50, 43)
(19, 53, 28)
(19, 33, 38)
(19, 55, 7)
(19, 71, 27)
(19, 34, 44)
(19, 75, 48)
(19, 70, 28)
(19, 32, 5)
(19, 28, 5)
(19, 47, 1)
(19, 87, 15)
(19, 99, 40)
(19, 37, 32)
(19, 85, 9)
(19, 79, 29)
(19, 73, 26)
(19, 83, 25)
(19, 74, 47)
(19, 60, 50)
(19, 93, 23)
(19, 27, 8)
(19, 81, 35)
(19, 49, 47)
(19, 26, 4)
(19, 72, 43)
(19, 92, 24)
(19, 96, 34)
(19, 36, 23)
(19, 62, 10)
(19, 90, 31)
(19, 40, 25)
(19, 35, 25)
(19, 67, 19)
(19, 56, 39)
(19, 38, 21)
(19, 43, 43)
(19, 97, 12)
(19, 78, 11)
(19, 20, 14)
(19, 45, 19)
(19, 57, 23)
(19, 84, 35)
(19, 23, 39)
(19, 98, 43)
(19, 89, 11)
(19, 52, 13)
(19, 66, 41)
(19, 94, 22)
(19, 29, 50)
(19, 64, 14)
(19, 24, 16)
(19, 95, 43)
(20, 32, 4)
(20, 85, 17)
(20, 38, 49)
(20, 52, 45)
(20, 36, 14)
(20, 95, 13)
(20, 94, 21)
(20, 97, 12)
(20, 54, 46)
(20, 33, 50)
(20, 91, 9)
(20, 43, 26)
(20, 39, 19)
(20, 67, 49)
(20, 40, 36)
(20, 48, 29)
(20, 25, 5)
(20, 80, 29)
(20, 44, 31)
(20, 77, 5)
(20, 65, 44)
(20, 66, 18)
(20, 92, 14)
(20, 70, 50)
(20, 37, 18)
(20, 96, 36)
(20, 90, 5)
(20, 81, 11)
(20, 72, 21)
(20, 35, 35)
(20, 76, 15)
(20, 82, 8)
(20, 29, 12)
(20, 73, 4)
(20, 59, 48)
(20, 68, 43)
(20, 98, 43)
(20, 75, 9)
(20, 50, 15)
(20, 30, 10)
(20, 89, 49)
(20, 55, 32)
(20, 42, 27)
(20, 83, 38)
(20, 84, 1)
(20, 56, 50)
(20, 23, 8)
(20, 86, 33)
(20, 27, 11)
(20, 87, 37)
(20, 61, 49)
(20, 64, 5)
(20, 28, 27)
(20, 79, 33)
(20, 57, 18)
(20, 99, 27)
(20, 34, 1)
(20, 74, 19)
(20, 53, 30)
(20, 49, 46)
(20, 45, 12)
(20, 46, 5)
(20, 31, 42)
(20, 78, 8)
(20, 21, 8)
(20, 26, 18)
(20, 60, 25)
(20, 51, 34)
(20, 69, 17)
(20, 71, 29)
(20, 47, 13)
(20, 41, 30)
(20, 93, 29)
(20, 63, 44)
(20, 58, 19)
(20, 62, 3)
(20, 24, 3)
(20, 88, 33)
(20, 22, 6)
(21, 61, 15)
(21, 53, 41)
(21, 29, 25)
(21, 49, 8)
(21, 33, 8)
(21, 70, 11)
(21, 26, 11)
(21, 47, 1)
(21, 27, 32)
(21, 91, 35)
(21, 67, 23)
(21, 28, 48)
(21, 63, 21)
(21, 74, 11)
(21, 88, 11)
(21, 89, 3)
(21, 23, 29)
(21, 96, 33)
(21, 40, 43)
(21, 90, 35)
(21, 48, 40)
(21, 38, 24)
(21, 45, 36)
(21, 94, 25)
(21, 25, 36)
(21, 24, 29)
(21, 64, 48)
(21, 99, 21)
(21, 72, 37)
(21, 73, 34)
(21, 85, 8)
(21, 50, 33)
(21, 43, 29)
(21, 82, 38)
(21, 58, 11)
(21, 78, 42)
(21, 83, 27)
(21, 22, 35)
(21, 76, 19)
(21, 86, 17)
(21, 95, 36)
(21, 97, 33)
(21, 77, 32)
(21, 44, 13)
(21, 59, 34)
(21, 51, 4)
(21, 69, 42)
(21, 75, 40)
(21, 41, 7)
(21, 71, 44)
(21, 68, 28)
(21, 55, 11)
(21, 39, 34)
(21, 37, 45)
(21, 31, 44)
(21, 60, 28)
(21, 80, 42)
(21, 81, 42)
(21, 34, 17)
(21, 32, 27)
(21, 62, 40)
(21, 36, 44)
(21, 98, 15)
(21, 54, 15)
(21, 92, 16)
(21, 52, 16)
(21, 79, 42)
(21, 65, 27)
(21, 66, 36)
(21, 87, 40)
(21, 56, 42)
(21, 30, 39)
(21, 57, 33)
(21, 46, 10)
(21, 84, 49)
(21, 42, 20)
(21, 35, 11)
(21, 93, 17)
(22, 76, 14)
(22, 38, 29)
(22, 86, 1)
(22, 39, 39)
(22, 29, 18)
(22, 34, 19)
(22, 30, 4)
(22, 70, 2)
(22, 58, 31)
(22, 66, 3)
(22, 84, 38)
(22, 98, 36)
(22, 24, 14)
(22, 52, 48)
(22, 48, 10)
(22, 44, 16)
(22, 37, 9)
(22, 67, 21)
(22, 94, 15)
(22, 57, 38)
(22, 55, 28)
(22, 42, 39)
(22, 31, 8)
(22, 61, 46)
(22, 90, 20)
(22, 83, 36)
(22, 74, 6)
(22, 49, 25)
(22, 41, 44)
(22, 75, 39)
(22, 68, 34)
(22, 46, 8)
(22, 92, 10)
(22, 60, 48)
(22, 35, 17)
(22, 54, 26)
(22, 53, 7)
(22, 91, 42)
(22, 62, 48)
(22, 40, 30)
(22, 26, 26)
(22, 78, 40)
(22, 27, 34)
(22, 93, 31)
(22, 69, 45)
(22, 95, 36)
(22, 99, 31)
(22, 81, 44)
(22, 23, 22)
(22, 77, 1)
(22, 63, 33)
(22, 82, 17)
(22, 28, 5)
(22, 33, 50)
(22, 56, 11)
(22, 79, 6)
(22, 73, 9)
(22, 32, 19)
(22, 87, 44)
(22, 72, 32)
(22, 51, 2)
(22, 65, 44)
(22, 71, 4)
(22, 64, 33)
(22, 97, 7)
(22, 47, 16)
(22, 59, 2)
(22, 89, 1)
(22, 80, 15)
(22, 96, 10)
(22, 50, 25)
(22, 36, 5)
(22, 25, 2)
(22, 85, 16)
(22, 88, 27)
(22, 45, 6)
(22, 43, 16)
(23, 83, 45)
(23, 70, 4)
(23, 98, 36)
(23, 64, 5)
(23, 45, 36)
(23, 93, 48)
(23, 68, 15)
(23, 75, 21)
(23, 57, 21)
(23, 34, 8)
(23, 39, 10)
(23, 26, 46)
(23, 67, 9)
(23, 43, 11)
(23, 30, 45)
(23, 95, 42)
(23, 73, 7)
(23, 35, 40)
(23, 81, 23)
(23, 84, 5)
(23, 36, 23)
(23, 86, 29)
(23, 51, 16)
(23, 72, 1)
(23, 77, 26)
(23, 53, 13)
(23, 62, 37)
(23, 25, 20)
(23, 46, 50)
(23, 85, 33)
(23, 74, 13)
(23, 27, 5)
(23, 49, 13)
(23, 99, 38)
(23, 87, 15)
(23, 40, 49)
(23, 32, 47)
(23, 88, 47)
(23, 28, 32)
(23, 78, 25)
(23, 33, 37)
(23, 63, 50)
(23, 54, 9)
(23, 60, 8)
(23, 80, 16)
(23, 97, 35)
(23, 37, 5)
(23, 61, 1)
(23, 59, 11)
(23, 31, 23)
(23, 29, 32)
(23, 55, 28)
(23, 48, 41)
(23, 50, 31)
(23, 41, 39)
(23, 66, 39)
(23, 69, 32)
(23, 58, 11)
(23, 96, 41)
(23, 82, 22)
(23, 94, 47)
(23, 91, 12)
(23, 71, 31)
(23, 52, 18)
(23, 44, 7)
(23, 76, 25)
(23, 90, 17)
(23, 92, 39)
(23, 56, 26)
(23, 47, 47)
(23, 42, 37)
(23, 79, 25)
(23, 65, 33)
(23, 89, 13)
(23, 24, 16)
(23, 38, 5)
(24, 31, 10)
(24, 85, 41)
(24, 35, 10)
(24, 29, 5)
(24, 69, 20)
(24, 80, 50)
(24, 65, 25)
(24, 92, 24)
(24, 61, 32)
(24, 99, 19)
(24, 54, 14)
(24, 57, 21)
(24, 39, 48)
(24, 56, 39)
(24, 43, 5)
(24, 36, 22)
(24, 44, 23)
(24, 47, 17)
(24, 72, 5)
(24, 58, 15)
(24, 87, 18)
(24, 53, 8)
(24, 79, 46)
(24, 77, 4)
(24, 27, 35)
(24, 28, 3)
(24, 33, 30)
(24, 32, 12)
(24, 66, 33)
(24, 96, 24)
(24, 70, 44)
(24, 86, 32)
(24, 74, 44)
(24, 95, 37)
(24, 26, 13)
(24, 82, 26)
(24, 89, 31)
(24, 30, 21)
(24, 73, 13)
(24, 45, 1)
(24, 94, 26)
(24, 40, 41)
(24, 64, 11)
(24, 68, 6)
(24, 37, 44)
(24, 83, 34)
(24, 62, 37)
(24, 93, 17)
(24, 51, 5)
(24, 50, 48)
(24, 25, 46)
(24, 34, 26)
(24, 42, 7)
(24, 71, 39)
(24, 55, 7)
(24, 67, 29)
(24, 81, 19)
(24, 49, 27)
(24, 75, 11)
(24, 46, 19)
(24, 63, 12)
(24, 41, 24)
(24, 52, 33)
(24, 90, 34)
(24, 38, 19)
(24, 84, 3)
(24, 98, 27)
(24, 60, 15)
(24, 88, 20)
(24, 48, 23)
(24, 76, 50)
(24, 78, 27)
(24, 59, 22)
(24, 97, 45)
(24, 91, 18)
(25, 83, 33)
(25, 89, 17)
(25, 65, 10)
(25, 49, 14)
(25, 61, 23)
(25, 55, 45)
(25, 51, 14)
(25, 78, 36)
(25, 63, 6)
(25, 76, 22)
(25, 43, 10)
(25, 77, 46)
(25, 40, 8)
(25, 80, 49)
(25, 53, 40)
(25, 50, 27)
(25, 75, 17)
(25, 62, 34)
(25, 30, 1)
(25, 47, 46)
(25, 86, 33)
(25, 95, 39)
(25, 29, 28)
(25, 36, 47)
(25, 60, 18)
(25, 81, 25)
(25, 93, 11)
(25, 33, 34)
(25, 67, 33)
(25, 91, 24)
(25, 57, 42)
(25, 41, 38)
(25, 32, 28)
(25, 28, 6)
(25, 48, 43)
(25, 85, 44)
(25, 71, 38)
(25, 82, 28)
(25, 66, 22)
(25, 70, 48)
(25, 35, 17)
(25, 68, 3)
(25, 52, 11)
(25, 38, 16)
(25, 96, 12)
(25, 92, 16)
(25, 31, 27)
(25, 84, 39)
(25, 59, 14)
(25, 99, 45)
(25, 88, 26)
(25, 64, 27)
(25, 79, 1)
(25, 87, 2)
(25, 73, 26)
(25, 37, 6)
(25, 90, 21)
(25, 45, 23)
(25, 74, 14)
(25, 98, 37)
(25, 56, 17)
(25, 54, 40)
(25, 69, 20)
(25, 44, 49)
(25, 27, 30)
(25, 42, 5)
(25, 97, 4)
(25, 94, 45)
(25, 72, 49)
(25, 58, 43)
(25, 26, 10)
(25, 46, 11)
(25, 39, 30)
(25, 34, 28)
(26, 86, 10)
(26, 58, 31)
(26, 30, 24)
(26, 38, 17)
(26, 56, 49)
(26, 60, 19)
(26, 68, 14)
(26, 59, 29)
(26, 66, 50)
(26, 31, 2)
(26, 80, 3)
(26, 90, 23)
(26, 71, 17)
(26, 34, 49)
(26, 50, 44)
(26, 39, 49)
(26, 97, 34)
(26, 55, 7)
(26, 32, 33)
(26, 37, 47)
(26, 65, 32)
(26, 48, 37)
(26, 88, 8)
(26, 92, 27)
(26, 83, 8)
(26, 35, 37)
(26, 75, 22)
(26, 85, 36)
(26, 33, 12)
(26, 87, 40)
(26, 46, 5)
(26, 41, 25)
(26, 52, 37)
(26, 91, 6)
(26, 28, 43)
(26, 54, 42)
(26, 95, 21)
(26, 94, 38)
(26, 98, 38)
(26, 29, 47)
(26, 57, 26)
(26, 78, 13)
(26, 74, 23)
(26, 82, 42)
(26, 36, 41)
(26, 61, 19)
(26, 73, 4)
(26, 64, 16)
(26, 63, 33)
(26, 62, 43)
(26, 40, 10)
(26, 43, 31)
(26, 79, 18)
(26, 84, 2)
(26, 89, 47)
(26, 45, 16)
(26, 44, 39)
(26, 51, 47)
(26, 76, 4)
(26, 67, 32)
(26, 53, 20)
(26, 77, 1)
(26, 81, 20)
(26, 70, 31)
(26, 72, 42)
(26, 27, 49)
(26, 99, 36)
(26, 93, 1)
(26, 42, 46)
(26, 96, 10)
(26, 69, 16)
(26, 47, 14)
(26, 49, 3)
(27, 86, 41)
(27, 39, 28)
(27, 76, 46)
(27, 55, 19)
(27, 43, 8)
(27, 77, 11)
(27, 91, 25)
(27, 54, 1)
(27, 30, 10)
(27, 75, 21)
(27, 93, 8)
(27, 60, 27)
(27, 42, 2)
(27, 98, 24)
(27, 29, 48)
(27, 59, 25)
(27, 85, 9)
(27, 99, 29)
(27, 74, 28)
(27, 45, 29)
(27, 49, 22)
(27, 97, 35)
(27, 37, 39)
(27, 50, 2)
(27, 66, 40)
(27, 53, 6)
(27, 81, 4)
(27, 48, 34)
(27, 65, 15)
(27, 61, 20)
(27, 35, 12)
(27, 94, 33)
(27, 89, 23)
(27, 51, 23)
(27, 32, 17)
(27, 82, 41)
(27, 80, 39)
(27, 64, 1)
(27, 40, 29)
(27, 44, 49)
(27, 79, 38)
(27, 28, 33)
(27, 36, 22)
(27, 96, 15)
(27, 63, 16)
(27, 69, 5)
(27, 73, 4)
(27, 31, 15)
(27, 84, 3)
(27, 72, 25)
(27, 58, 22)
(27, 78, 10)
(27, 70, 38)
(27, 46, 42)
(27, 34, 48)
(27, 33, 44)
(27, 41, 28)
(27, 38, 25)
(27, 56, 41)
(27, 88, 1)
(27, 71, 50)
(27, 92, 39)
(27, 52, 12)
(27, 95, 9)
(27, 83, 36)
(27, 87, 21)
(27, 57, 40)
(27, 62, 26)
(27, 67, 45)
(27, 68, 24)
(27, 47, 6)
(27, 90, 50)
(28, 30, 8)
(28, 96, 37)
(28, 32, 29)
(28, 85, 15)
(28, 49, 20)
(28, 75, 11)
(28, 78, 44)
(28, 90, 43)
(28, 60, 43)
(28, 44, 16)
(28, 33, 33)
(28, 79, 8)
(28, 40, 14)
(28, 34, 40)
(28, 56, 1)
(28, 57, 26)
(28, 45, 10)
(28, 35, 46)
(28, 64, 40)
(28, 37, 1)
(28, 50, 15)
(28, 53, 21)
(28, 73, 15)
(28, 81, 25)
(28, 62, 24)
(28, 98, 35)
(28, 38, 26)
(28, 43, 35)
(28, 52, 48)
(28, 94, 21)
(28, 92, 33)
(28, 86, 11)
(28, 71, 48)
(28, 39, 29)
(28, 93, 42)
(28, 41, 6)
(28, 66, 50)
(28, 83, 38)
(28, 55, 13)
(28, 91, 3)
(28, 97, 44)
(28, 87, 48)
(28, 72, 39)
(28, 42, 36)
(28, 36, 43)
(28, 82, 23)
(28, 31, 42)
(28, 54, 19)
(28, 51, 39)
(28, 74, 10)
(28, 29, 49)
(28, 80, 46)
(28, 46, 48)
(28, 95, 33)
(28, 48, 27)
(28, 70, 17)
(28, 76, 1)
(28, 88, 21)
(28, 77, 37)
(28, 67, 27)
(28, 89, 45)
(28, 47, 2)
(28, 69, 22)
(28, 59, 34)
(28, 63, 32)
(28, 61, 7)
(28, 99, 30)
(28, 68, 18)
(28, 84, 9)
(28, 65, 13)
(28, 58, 48)
(29, 72, 6)
(29, 62, 11)
(29, 48, 31)
(29, 35, 21)
(29, 54, 10)
(29, 96, 39)
(29, 53, 40)
(29, 36, 39)
(29, 99, 13)
(29, 68, 49)
(29, 37, 10)
(29, 44, 26)
(29, 66, 47)
(29, 63, 4)
(29, 58, 5)
(29, 70, 39)
(29, 43, 24)
(29, 81, 37)
(29, 88, 21)
(29, 98, 8)
(29, 40, 43)
(29, 51, 10)
(29, 91, 12)
(29, 31, 41)
(29, 65, 25)
(29, 41, 25)
(29, 78, 33)
(29, 86, 40)
(29, 47, 47)
(29, 52, 29)
(29, 59, 2)
(29, 42, 40)
(29, 56, 28)
(29, 39, 36)
(29, 69, 50)
(29, 89, 26)
(29, 83, 40)
(29, 45, 8)
(29, 95, 32)
(29, 30, 45)
(29, 77, 26)
(29, 90, 21)
(29, 71, 43)
(29, 50, 31)
(29, 60, 34)
(29, 76, 37)
(29, 75, 32)
(29, 85, 4)
(29, 64, 18)
(29, 55, 6)
(29, 97, 19)
(29, 57, 6)
(29, 32, 28)
(29, 61, 45)
(29, 73, 31)
(29, 49, 41)
(29, 80, 22)
(29, 38, 24)
(29, 93, 33)
(29, 79, 19)
(29, 74, 45)
(29, 33, 9)
(29, 94, 8)
(29, 87, 13)
(29, 92, 40)
(29, 84, 6)
(29, 67, 32)
(29, 46, 49)
(29, 34, 39)
(29, 82, 47)
(30, 59, 12)
(30, 61, 41)
(30, 41, 20)
(30, 40, 2)
(30, 69, 19)
(30, 72, 41)
(30, 74, 13)
(30, 84, 43)
(30, 67, 11)
(30, 75, 24)
(30, 86, 25)
(30, 50, 2)
(30, 53, 25)
(30, 32, 34)
(30, 92, 32)
(30, 48, 9)
(30, 52, 46)
(30, 44, 3)
(30, 38, 8)
(30, 87, 39)
(30, 70, 19)
(30, 88, 27)
(30, 68, 11)
(30, 64, 20)
(30, 57, 32)
(30, 47, 4)
(30, 71, 41)
(30, 90, 26)
(30, 58, 12)
(30, 83, 35)
(30, 93, 28)
(30, 79, 2)
(30, 43, 14)
(30, 33, 16)
(30, 63, 44)
(30, 46, 7)
(30, 80, 20)
(30, 39, 14)
(30, 36, 2)
(30, 60, 26)
(30, 99, 48)
(30, 35, 6)
(30, 89, 23)
(30, 73, 10)
(30, 66, 13)
(30, 91, 35)
(30, 55, 17)
(30, 85, 10)
(30, 54, 33)
(30, 51, 50)
(30, 56, 12)
(30, 76, 15)
(30, 37, 23)
(30, 95, 26)
(30, 77, 8)
(30, 82, 11)
(30, 34, 20)
(30, 98, 19)
(30, 49, 6)
(30, 31, 42)
(30, 97, 8)
(30, 42, 12)
(30, 96, 42)
(30, 62, 2)
(30, 81, 47)
(30, 65, 45)
(30, 94, 2)
(30, 45, 16)
(30, 78, 19)
(31, 62, 4)
(31, 55, 19)
(31, 83, 19)
(31, 89, 49)
(31, 53, 50)
(31, 73, 23)
(31, 82, 30)
(31, 76, 34)
(31, 79, 30)
(31, 39, 22)
(31, 75, 50)
(31, 54, 10)
(31, 86, 42)
(31, 84, 20)
(31, 90, 13)
(31, 50, 27)
(31, 32, 41)
(31, 36, 46)
(31, 81, 42)
(31, 99, 31)
(31, 45, 47)
(31, 47, 47)
(31, 88, 13)
(31, 69, 48)
(31, 93, 30)
(31, 48, 30)
(31, 43, 14)
(31, 63, 7)
(31, 71, 48)
(31, 70, 1)
(31, 72, 7)
(31, 33, 11)
(31, 52, 32)
(31, 44, 29)
(31, 38, 21)
(31, 46, 11)
(31, 56, 6)
(31, 92, 33)
(31, 97, 50)
(31, 58, 7)
(31, 74, 42)
(31, 66, 26)
(31, 64, 8)
(31, 95, 25)
(31, 98, 38)
(31, 80, 39)
(31, 91, 10)
(31, 94, 41)
(31, 34, 40)
(31, 77, 26)
(31, 49, 46)
(31, 65, 22)
(31, 41, 39)
(31, 57, 41)
(31, 85, 37)
(31, 61, 38)
(31, 51, 36)
(31, 35, 27)
(31, 59, 30)
(31, 60, 21)
(31, 68, 38)
(31, 37, 40)
(31, 78, 32)
(31, 87, 8)
(31, 96, 22)
(31, 42, 41)
(31, 40, 33)
(31, 67, 20)
(32, 80, 45)
(32, 85, 48)
(32, 82, 11)
(32, 37, 32)
(32, 42, 36)
(32, 33, 9)
(32, 99, 42)
(32, 65, 35)
(32, 60, 18)
(32, 40, 48)
(32, 35, 10)
(32, 95, 34)
(32, 83, 38)
(32, 77, 44)
(32, 84, 41)
(32, 48, 4)
(32, 79, 5)
(32, 46, 21)
(32, 39, 12)
(32, 61, 12)
(32, 52, 12)
(32, 54, 27)
(32, 55, 36)
(32, 45, 42)
(32, 71, 29)
(32, 58, 48)
(32, 90, 15)
(32, 78, 5)
(32, 98, 3)
(32, 59, 34)
(32, 49, 10)
(32, 96, 13)
(32, 50, 48)
(32, 47, 31)
(32, 76, 49)
(32, 72, 1)
(32, 88, 40)
(32, 34, 3)
(32, 87, 49)
(32, 66, 45)
(32, 70, 20)
(32, 63, 41)
(32, 81, 14)
(32, 97, 1)
(32, 86, 27)
(32, 93, 14)
(32, 94, 39)
(32, 38, 6)
(32, 68, 31)
(32, 44, 6)
(32, 43, 38)
(32, 91, 33)
(32, 92, 25)
(32, 69, 21)
(32, 74, 47)
(32, 56, 26)
(32, 67, 5)
(32, 73, 19)
(32, 51, 24)
(32, 57, 26)
(32, 36, 1)
(32, 75, 19)
(32, 64, 40)
(32, 62, 30)
(32, 89, 42)
(32, 41, 31)
(32, 53, 42)
(33, 91, 21)
(33, 87, 40)
(33, 73, 30)
(33, 99, 26)
(33, 46, 46)
(33, 70, 28)
(33, 67, 38)
(33, 63, 50)
(33, 51, 25)
(33, 54, 49)
(33, 85, 11)
(33, 41, 46)
(33, 45, 28)
(33, 88, 18)
(33, 98, 33)
(33, 64, 14)
(33, 68, 7)
(33, 96, 41)
(33, 94, 27)
(33, 78, 35)
(33, 95, 46)
(33, 81, 30)
(33, 66, 50)
(33, 84, 33)
(33, 97, 21)
(33, 77, 9)
(33, 60, 2)
(33, 69, 45)
(33, 56, 50)
(33, 38, 9)
(33, 42, 41)
(33, 80, 27)
(33, 58, 5)
(33, 90, 12)
(33, 71, 1)
(33, 59, 23)
(33, 75, 17)
(33, 34, 21)
(33, 83, 16)
(33, 37, 25)
(33, 72, 27)
(33, 57, 18)
(33, 39, 33)
(33, 55, 15)
(33, 48, 9)
(33, 61, 28)
(33, 49, 46)
(33, 79, 29)
(33, 74, 48)
(33, 43, 4)
(33, 93, 48)
(33, 53, 12)
(33, 65, 9)
(33, 89, 9)
(33, 47, 16)
(33, 92, 27)
