Edges in the graph (u, v, w):
(69, 783, 16)
(69, 733, 33)
(69, 334, 24)
(69, 732, 18)
(69, 910, 36)
(69, 308, 33)
(69, 828, 9)
(69, 557, 12)
(69, 669, 42)
(69, 333, 3)
(69, 151, 42)
(70, 531, 43)
(70, 630, 4)
(70, 794, 8)
(70, 576, 31)
(70, 924, 50)
(70, 803, 46)
(70, 527, 40)
(70, 613, 34)
(70, 832, 13)
(70, 704, 32)
(70, 425, 30)
(70, 968, 29)
(70, 232, 24)
(70, 423, 10)
(70, 952, 29)
(70, 306, 23)
(70, 187, 31)
(71, 82, 7)
(71, 556, 13)
(71, 828, 16)
(71, 804, 49)
(71, 359, 25)
(71, 644, 3)
(71, 642, 23)
(71, 408, 46)
(71, 307, 17)
(71, 818, 41)
(71, 187, 2)
(71, 343, 9)
(71, 384, 26)
(71, 976, 2)
(71, 401, 43)
(71, 313, 12)
(71, 239, 10)
(71, 757, 44)
(71, 759, 21)
(72, 150, 2)
(72, 165, 16)
(72, 429, 30)
(72, 813, 5)
(72, 871, 50)
(72, 936, 43)
(72, 660, 49)
(72, 128, 8)
(72, 561, 17)
(72, 291, 44)
(72, 782, 13)
(72, 146, 10)
(72, 606, 7)
(72, 367, 26)
(72, 867, 22)
(72, 353, 37)
(72, 471, 19)
(72, 436, 42)
(72, 115, 13)
(72, 530, 3)
(73, 803, 37)
(73, 304, 38)
(73, 762, 34)
(73, 801, 7)
(73, 581, 33)
(73, 440, 25)
(73, 983, 32)
(73, 248, 3)
(73, 688, 50)
(73, 389, 14)
(73, 737, 22)
(73, 439, 43)
(73, 269, 9)
(73, 764, 34)
(73, 215, 30)
(73, 884, 40)
(73, 593, 10)
(73, 347, 35)
(73, 298, 34)
(73, 462, 46)
(73, 220, 1)
(73, 308, 38)
(73, 973, 22)
(73, 183, 49)
(74, 424, 50)
(74, 612, 6)
(74, 860, 7)
(74, 710, 19)
(74, 878, 13)
(74, 571, 36)
(74, 266, 40)
(74, 693, 13)
(74, 739, 36)
(74, 102, 46)
(74, 344, 38)
(74, 947, 27)
(74, 83, 22)
(74, 427, 15)
(74, 547, 9)
(74, 175, 20)
(74, 505, 20)
(74, 537, 45)
(74, 206, 30)
(74, 599, 39)
(74, 383, 48)
(74, 448, 1)
(74, 284, 50)
(74, 359, 9)
(75, 278, 48)
(75, 538, 46)
(75, 319, 22)
(75, 367, 39)
(75, 137, 38)
(75, 856, 18)
(75, 643, 40)
(75, 785, 9)
(75, 286, 22)
(75, 431, 49)
(75, 383, 44)
(75, 736, 31)
(75, 889, 40)
(75, 143, 46)
(75, 589, 8)
(75, 536, 19)
(75, 423, 31)
(75, 650, 32)
(76, 893, 16)
(76, 482, 36)
(76, 158, 31)
(76, 777, 7)
(76, 760, 47)
(76, 670, 33)
(76, 320, 33)
(76, 801, 39)
(76, 506, 26)
(76, 973, 47)
(76, 836, 25)
(76, 139, 8)
(76, 355, 13)
(76, 138, 19)
(76, 102, 16)
(76, 544, 33)
(76, 841, 19)
(76, 406, 1)
(76, 552, 20)
(76, 414, 24)
(76, 968, 28)
(77, 121, 41)
(77, 771, 26)
(77, 160, 11)
(77, 862, 30)
(77, 178, 39)
(77, 847, 33)
(77, 350, 12)
(77, 827, 36)
(77, 468, 16)
(77, 476, 39)
(77, 298, 34)
(77, 360, 26)
(77, 308, 47)
(77, 338, 47)
(77, 893, 34)
(77, 390, 39)
(77, 115, 1)
(77, 965, 1)
(77, 163, 34)
(77, 432, 38)
(77, 348, 48)
(77, 188, 48)
(77, 491, 44)
(78, 856, 25)
(78, 713, 50)
(78, 794, 50)
(78, 572, 39)
(78, 939, 32)
(78, 407, 6)
(78, 578, 46)
(78, 563, 49)
(78, 474, 36)
(78, 935, 30)
(78, 558, 26)
(78, 424, 9)
(78, 483, 19)
(78, 850, 7)
(78, 733, 30)
(78, 722, 11)
(78, 770, 23)
(78, 86, 15)
(79, 418, 15)
(79, 401, 18)
(79, 288, 37)
(79, 284, 33)
(79, 444, 9)
(79, 465, 18)
(79, 747, 3)
(79, 321, 39)
(79, 343, 27)
(79, 92, 4)
(79, 913, 8)
(79, 448, 20)
(79, 236, 47)
(79, 280, 34)
(80, 276, 13)
(80, 202, 36)
(80, 197, 38)
(80, 360, 40)
(80, 890, 46)
(80, 491, 9)
(80, 193, 25)
(80, 377, 9)
(80, 626, 13)
(80, 171, 46)
(80, 453, 9)
(80, 288, 7)
(80, 862, 24)
(80, 527, 27)
(80, 402, 27)
(80, 789, 12)
(80, 738, 44)
(80, 376, 22)
(80, 503, 19)
(80, 245, 48)
(81, 566, 3)
(81, 451, 30)
(81, 458, 38)
(81, 117, 8)
(81, 222, 46)
(81, 802, 11)
(81, 492, 8)
(81, 523, 42)
(81, 768, 47)
(81, 980, 40)
(81, 818, 48)
(81, 743, 33)
(81, 282, 4)
(81, 116, 3)
(81, 812, 9)
(81, 605, 18)
(81, 287, 37)
(81, 326, 9)
(81, 679, 5)
(81, 862, 34)
(81, 158, 50)
(81, 302, 18)
(81, 999, 20)
(81, 440, 44)
(82, 612, 44)
(82, 725, 18)
(82, 116, 2)
(82, 331, 13)
(82, 670, 3)
(82, 772, 16)
(82, 416, 19)
(82, 964, 36)
(82, 421, 21)
(82, 789, 32)
(82, 897, 7)
(82, 530, 38)
(82, 854, 9)
(82, 508, 25)
(82, 700, 32)
(82, 952, 7)
(82, 680, 37)
(82, 777, 14)
(82, 988, 4)
(82, 153, 7)
(82, 701, 17)
(83, 569, 10)
(83, 237, 36)
(83, 992, 30)
(83, 942, 15)
(83, 780, 24)
(83, 568, 28)
(83, 430, 37)
(83, 403, 35)
(83, 616, 27)
(83, 585, 38)
(83, 578, 26)
(83, 748, 17)
(83, 546, 48)
(84, 165, 8)
(84, 877, 16)
(84, 246, 27)
(84, 270, 23)
(84, 627, 46)
(84, 509, 23)
(84, 319, 46)
(84, 751, 24)
(84, 882, 27)
(84, 387, 44)
(84, 620, 10)
(84, 185, 12)
(84, 706, 33)
(84, 157, 30)
(84, 102, 45)
(84, 220, 21)
(85, 112, 7)
(85, 945, 4)
(85, 386, 16)
(85, 673, 8)
(85, 90, 11)
(85, 200, 24)
(85, 375, 7)
(85, 313, 9)
(85, 674, 21)
(85, 977, 25)
(85, 736, 4)
(85, 998, 25)
(85, 766, 45)
(85, 609, 38)
(85, 157, 22)
(85, 329, 8)
(85, 297, 31)
(85, 95, 47)
(85, 267, 15)
(85, 845, 26)
(85, 701, 35)
(85, 993, 40)
(85, 965, 26)
(85, 686, 5)
(86, 245, 9)
(86, 777, 43)
(86, 428, 20)
(86, 372, 39)
(86, 417, 40)
(86, 842, 6)
(86, 727, 10)
(86, 278, 26)
(86, 782, 50)
(86, 607, 39)
(86, 697, 44)
(86, 450, 13)
(86, 507, 11)
(87, 943, 43)
(87, 218, 28)
(87, 607, 38)
(87, 920, 7)
(87, 284, 27)
(87, 866, 44)
(87, 930, 48)
(87, 126, 28)
(87, 116, 5)
(87, 510, 5)
(87, 588, 1)
(87, 553, 15)
(87, 168, 40)
(87, 377, 32)
(87, 107, 9)
(87, 127, 29)
(87, 631, 26)
(87, 958, 25)
(87, 300, 47)
(87, 555, 50)
(87, 769, 23)
(88, 256, 8)
(88, 537, 35)
(88, 701, 47)
(88, 328, 4)
(88, 100, 43)
(88, 200, 24)
(88, 882, 34)
(88, 361, 23)
(88, 114, 10)
(88, 715, 31)
(88, 151, 25)
(88, 482, 25)
(88, 102, 19)
(88, 510, 39)
(88, 532, 21)
(88, 959, 43)
(88, 838, 12)
(89, 179, 11)
(89, 249, 14)
(89, 700, 19)
(89, 836, 23)
(89, 416, 35)
(89, 842, 39)
(89, 184, 43)
(89, 421, 11)
(89, 589, 13)
(89, 921, 41)
(89, 939, 22)
(89, 575, 50)
(89, 272, 14)
(89, 615, 16)
(89, 759, 43)
(89, 437, 4)
(89, 282, 17)
(89, 562, 49)
(89, 773, 45)
(89, 325, 14)
(90, 618, 13)
(90, 108, 21)
(90, 211, 12)
(90, 745, 46)
(90, 512, 50)
(90, 104, 9)
(90, 467, 26)
(90, 309, 19)
(90, 680, 49)
(90, 683, 36)
(90, 932, 29)
(90, 747, 5)
(90, 461, 29)
(90, 631, 31)
(90, 833, 5)
(90, 297, 44)
(91, 283, 18)
(91, 415, 14)
(91, 891, 50)
(91, 177, 18)
(91, 675, 36)
(91, 258, 5)
(91, 746, 11)
(91, 693, 21)
(91, 410, 35)
(91, 526, 15)
(91, 981, 8)
(91, 980, 12)
(91, 702, 4)
(91, 474, 48)
(91, 626, 43)
(92, 427, 43)
(92, 904, 9)
(92, 950, 15)
(92, 331, 10)
(92, 134, 49)
(92, 823, 32)
(92, 210, 27)
(92, 690, 38)
(92, 456, 1)
(92, 266, 50)
(92, 982, 8)
(92, 974, 33)
(92, 852, 11)
(92, 593, 37)
(92, 569, 49)
(92, 636, 5)
(92, 991, 27)
(92, 671, 33)
(92, 789, 18)
(92, 575, 27)
(93, 427, 1)
(93, 942, 19)
(93, 835, 30)
(93, 983, 46)
(93, 189, 12)
(93, 488, 5)
(93, 328, 42)
(93, 334, 8)
(93, 874, 8)
(93, 975, 18)
(93, 196, 25)
(93, 169, 34)
(93, 324, 17)
(93, 310, 29)
(93, 151, 13)
(93, 920, 30)
(93, 223, 29)
(94, 448, 44)
(94, 220, 19)
(94, 613, 3)
(94, 928, 3)
(94, 585, 33)
(94, 716, 6)
(94, 373, 15)
(94, 864, 41)
(94, 260, 25)
(94, 879, 8)
(94, 423, 8)
(94, 522, 11)
(94, 562, 11)
(94, 772, 1)
(95, 913, 32)
(95, 480, 35)
(95, 858, 23)
(95, 401, 48)
(95, 96, 21)
(95, 803, 11)
(95, 891, 11)
(95, 98, 3)
(95, 481, 29)
(95, 953, 33)
(95, 994, 43)
(95, 447, 35)
(95, 825, 40)
(95, 666, 24)
(95, 717, 36)
(95, 972, 25)
(95, 942, 36)
(95, 328, 29)
(96, 597, 48)
(96, 784, 21)
(96, 218, 37)
(96, 636, 34)
(96, 895, 8)
(96, 299, 33)
(96, 190, 29)
(96, 742, 38)
(96, 913, 11)
(96, 881, 42)
(96, 273, 27)
(96, 759, 35)
(96, 918, 19)
(96, 552, 17)
(96, 291, 36)
(97, 669, 33)
(97, 239, 32)
(97, 308, 13)
(97, 353, 34)
(97, 102, 4)
(97, 721, 42)
(97, 109, 40)
(97, 929, 7)
(97, 832, 44)
(97, 784, 28)
(97, 176, 11)
(98, 284, 34)
(98, 389, 45)
(98, 553, 44)
(98, 974, 28)
(98, 200, 42)
(98, 397, 42)
(98, 712, 17)
(98, 448, 27)
(98, 201, 40)
(98, 167, 44)
(98, 943, 15)
(98, 849, 15)
(99, 806, 16)
(99, 718, 16)
(99, 604, 42)
(99, 938, 27)
(99, 733, 36)
(99, 119, 40)
(99, 249, 42)
(99, 495, 39)
(99, 230, 33)
(99, 364, 10)
(99, 959, 49)
(99, 306, 20)
(99, 496, 11)
(99, 527, 17)
(99, 357, 14)
(99, 641, 29)
(99, 594, 1)
(99, 415, 39)
(100, 283, 18)
(100, 751, 19)
(100, 367, 4)
(100, 992, 2)
(100, 810, 31)
(100, 783, 3)
(100, 896, 38)
(100, 974, 36)
(100, 561, 14)
(100, 710, 48)
(100, 247, 10)
(100, 590, 16)
(100, 889, 9)
(100, 755, 21)
(100, 433, 15)
(100, 918, 38)
(100, 392, 28)
(100, 404, 39)
(100, 558, 8)
(100, 273, 46)
(100, 527, 20)
(100, 213, 36)
(100, 399, 6)
(100, 819, 25)
(100, 401, 44)
(100, 275, 39)
(100, 241, 34)
(101, 590, 8)
(101, 664, 10)
(101, 736, 48)
(101, 356, 17)
(101, 384, 26)
(101, 891, 7)
(101, 217, 42)
(101, 657, 48)
(101, 311, 30)
(101, 447, 26)
(101, 918, 40)
(101, 844, 34)
(101, 190, 31)
(102, 338, 45)
(102, 604, 36)
(102, 732, 31)
(102, 633, 44)
(102, 177, 22)
(102, 791, 1)
(102, 203, 33)
(102, 197, 17)
(102, 472, 5)
(102, 977, 50)
(102, 847, 11)
(102, 661, 6)
(102, 597, 9)
(102, 521, 19)
(102, 121, 44)
(102, 871, 32)
(102, 346, 2)
(102, 989, 44)
(102, 961, 4)
(102, 606, 33)
(102, 666, 7)
(102, 814, 16)
(103, 883, 2)
(103, 206, 1)
(103, 539, 15)
(103, 885, 10)
(103, 606, 25)
(103, 324, 5)
(103, 580, 2)
(103, 292, 16)
(103, 346, 27)
(103, 123, 6)
(103, 161, 16)
(103, 542, 45)
(103, 923, 4)
(103, 444, 36)
(103, 631, 5)
(103, 250, 36)
(103, 779, 48)
(103, 681, 15)
(103, 935, 21)
(103, 486, 21)
(103, 598, 8)
(104, 448, 10)
(104, 886, 46)
(104, 882, 9)
(104, 518, 11)
(104, 927, 45)
(104, 288, 42)
(104, 262, 7)
(104, 896, 40)
(104, 287, 23)
(104, 187, 5)
(104, 686, 23)
(104, 297, 29)
(104, 560, 16)
(104, 596, 1)
(104, 884, 26)
(105, 507, 13)
(105, 437, 37)
(105, 400, 20)
(105, 349, 50)
(105, 313, 33)
(105, 701, 13)
(105, 267, 5)
(105, 198, 13)
(105, 202, 38)
(105, 178, 15)
(105, 513, 49)
(105, 469, 47)
(105, 200, 47)
(105, 498, 32)
(105, 897, 25)
(105, 229, 37)
(106, 291, 50)
(106, 403, 9)
(106, 740, 8)
(106, 158, 16)
(106, 192, 35)
(106, 704, 5)
(106, 524, 1)
(106, 319, 11)
(106, 945, 23)
(106, 947, 32)
(106, 427, 28)
(106, 847, 41)
(106, 143, 31)
(106, 240, 39)
(106, 252, 39)
(106, 287, 32)
(106, 636, 11)
(107, 414, 41)
(107, 792, 22)
(107, 112, 47)
(107, 880, 12)
(107, 470, 31)
(107, 696, 18)
(107, 516, 7)
(107, 947, 25)
(107, 981, 17)
(107, 448, 39)
(107, 396, 26)
(107, 802, 47)
(107, 898, 37)
(107, 846, 25)
(107, 853, 33)
(107, 252, 13)
(107, 299, 16)
(107, 143, 5)
(107, 542, 10)
(107, 689, 41)
(107, 525, 10)
(107, 483, 5)
(108, 651, 20)
(108, 918, 50)
(108, 496, 25)
(108, 161, 24)
(108, 565, 32)
(108, 546, 19)
(108, 633, 14)
(108, 563, 21)
(108, 554, 48)
(108, 321, 39)
(108, 894, 5)
(108, 123, 22)
(108, 274, 23)
(108, 826, 17)
(108, 699, 5)
(108, 913, 15)
(109, 838, 18)
(109, 584, 8)
(109, 613, 46)
(109, 234, 4)
(109, 441, 35)
(109, 670, 3)
(109, 987, 30)
(109, 451, 12)
(110, 670, 33)
(110, 152, 24)
(110, 671, 44)
(110, 339, 32)
(110, 280, 44)
(110, 312, 37)
(110, 604, 13)
(110, 919, 26)
(110, 253, 31)
(110, 223, 21)
(110, 117, 13)
(110, 482, 1)
(110, 632, 26)
(110, 494, 41)
(110, 509, 11)
(110, 788, 6)
(110, 178, 44)
(110, 791, 34)
(110, 202, 37)
(110, 205, 17)
(110, 801, 5)
(111, 348, 48)
(111, 612, 46)
(111, 740, 26)
(111, 595, 7)
(111, 613, 39)
(111, 934, 7)
(111, 365, 29)
(111, 226, 19)
(111, 766, 27)
(111, 628, 11)
(111, 160, 19)
(112, 729, 12)
(112, 337, 24)
(112, 677, 33)
(112, 376, 34)
(112, 297, 19)
(112, 257, 3)
(112, 436, 27)
(112, 678, 15)
(112, 121, 20)
(112, 217, 23)
(112, 495, 50)
(112, 408, 27)
(112, 441, 22)
(112, 781, 45)
(112, 215, 18)
(113, 793, 33)
(113, 296, 17)
(113, 765, 10)
(113, 254, 14)
(113, 925, 23)
(113, 673, 45)
(113, 284, 14)
(113, 188, 36)
(113, 206, 6)
(113, 774, 22)
(113, 521, 10)
(113, 230, 46)
(113, 746, 8)
(113, 945, 49)
(113, 423, 40)
(113, 415, 27)
(113, 593, 17)
(113, 309, 34)
(113, 134, 1)
(113, 263, 46)
(114, 736, 33)
(114, 386, 39)
(114, 486, 28)
(114, 553, 47)
(114, 480, 18)
(114, 658, 25)
(114, 777, 11)
(114, 153, 34)
(114, 302, 33)
(114, 260, 24)
(114, 509, 42)
(114, 537, 38)
(114, 427, 28)
(114, 525, 6)
(114, 374, 43)
(115, 571, 44)
(115, 609, 38)
(115, 408, 28)
(115, 133, 22)
(115, 445, 48)
(115, 228, 17)
(115, 327, 3)
(115, 670, 11)
(115, 443, 16)
(115, 208, 12)
(115, 442, 16)
(115, 340, 27)
(115, 226, 39)
(115, 600, 14)
(115, 683, 45)
(116, 682, 26)
(116, 905, 27)
(116, 576, 1)
(116, 482, 2)
(116, 209, 26)
(116, 408, 6)
(116, 267, 21)
(116, 783, 23)
(116, 176, 14)
(116, 483, 37)
(116, 283, 17)
(116, 398, 40)
(116, 446, 20)
(116, 995, 49)
(116, 561, 30)
(116, 273, 5)
(117, 632, 4)
(117, 642, 45)
(117, 834, 49)
(117, 403, 43)
(117, 382, 10)
(117, 204, 11)
(117, 597, 30)
(117, 618, 28)
(117, 921, 10)
(117, 810, 31)
(117, 747, 24)
(118, 121, 17)
(118, 762, 49)
(118, 282, 19)
(118, 912, 14)
(118, 245, 29)
(118, 374, 50)
(118, 586, 2)
(118, 730, 3)
(118, 780, 23)
(118, 858, 17)
(118, 887, 49)
(118, 187, 44)
(118, 876, 49)
(118, 431, 34)
(118, 161, 7)
(118, 359, 33)
(118, 565, 47)
(118, 765, 32)
(118, 563, 37)
(118, 856, 8)
(118, 242, 27)
(118, 899, 8)
(119, 271, 37)
(119, 134, 22)
(119, 336, 36)
(119, 558, 12)
(119, 779, 40)
(119, 803, 5)
(119, 293, 25)
(119, 478, 37)
(119, 437, 6)
(119, 885, 43)
(119, 280, 42)
(119, 978, 21)
(119, 588, 38)
(119, 503, 38)
(119, 463, 47)
(119, 372, 26)
(119, 122, 13)
(120, 691, 23)
(120, 204, 42)
(120, 680, 41)
(120, 476, 19)
(120, 562, 4)
(120, 157, 16)
(120, 914, 33)
(120, 967, 43)
(120, 782, 10)
(120, 526, 31)
(120, 441, 18)
(120, 208, 2)
(120, 405, 47)
(120, 615, 16)
(120, 570, 39)
(120, 670, 47)
(120, 870, 4)
(120, 778, 32)
(121, 386, 20)
(121, 849, 1)
(121, 611, 20)
(121, 503, 31)
(121, 946, 42)
(121, 374, 49)
(121, 390, 36)
(121, 433, 1)
(121, 890, 46)
(121, 318, 10)
(121, 500, 16)
(121, 818, 14)
(121, 389, 3)
(121, 186, 41)
(121, 921, 28)
(121, 202, 46)
(121, 158, 19)
(122, 673, 8)
(122, 177, 11)
(122, 624, 25)
(122, 688, 1)
(122, 135, 10)
(122, 165, 21)
(122, 775, 8)
(122, 472, 27)
(122, 932, 2)
(122, 531, 24)
(122, 208, 48)
(122, 355, 25)
(122, 910, 9)
(122, 217, 29)
(122, 363, 28)
(122, 599, 29)
(122, 594, 22)
(122, 262, 35)
(122, 276, 39)
(122, 759, 2)
(123, 938, 40)
(123, 737, 6)
(123, 278, 4)
(123, 632, 34)
(123, 252, 15)
(123, 271, 20)
(123, 687, 12)
(123, 833, 33)
(123, 199, 23)
(123, 364, 23)
(123, 609, 17)
(123, 496, 41)
(123, 257, 39)
(123, 826, 1)
(123, 296, 29)
(123, 665, 49)
(123, 225, 38)
(123, 864, 33)
(123, 952, 22)
(123, 916, 15)
(124, 618, 16)
(124, 318, 5)
(124, 908, 4)
(124, 785, 15)
(124, 943, 3)
(124, 388, 25)
(124, 299, 22)
(124, 159, 10)
(124, 724, 38)
(124, 611, 42)
(124, 436, 48)
(124, 974, 44)
(124, 935, 28)
(125, 419, 25)
(125, 824, 41)
(125, 992, 1)
(125, 389, 50)
(125, 806, 39)
(125, 813, 12)
(125, 423, 9)
(125, 432, 36)
(125, 702, 21)
(125, 294, 40)
(125, 758, 26)
(126, 240, 45)
(126, 228, 24)
(126, 832, 6)
(126, 486, 50)
(126, 985, 8)
(126, 995, 37)
(126, 369, 29)
(126, 797, 15)
(126, 979, 20)
(126, 447, 11)
(126, 815, 44)
(126, 255, 43)
(126, 132, 43)
(126, 583, 16)
(126, 491, 33)
(126, 380, 8)
(126, 795, 14)
(126, 127, 40)
(126, 927, 1)
(127, 856, 26)
(127, 186, 10)
(127, 934, 46)
(127, 853, 40)
(127, 534, 1)
(127, 216, 15)
(127, 334, 21)
(127, 198, 15)
(127, 923, 25)
(127, 302, 24)
(127, 264, 35)
(127, 371, 26)
(127, 745, 35)
(128, 759, 48)
(128, 676, 21)
(128, 580, 33)
(128, 633, 11)
(128, 891, 48)
(128, 410, 29)
(128, 707, 42)
(128, 517, 6)
(128, 145, 50)
(128, 291, 38)
(128, 719, 13)
(128, 882, 3)
(128, 720, 44)
(128, 793, 48)
(128, 724, 39)
(128, 884, 36)
(128, 801, 43)
(129, 162, 23)
(129, 627, 42)
(129, 182, 19)
(129, 673, 39)
(129, 697, 10)
(129, 470, 49)
(129, 602, 46)
(129, 933, 48)
(129, 467, 33)
(129, 992, 27)
(129, 822, 17)
(129, 541, 1)
(129, 670, 21)
(129, 964, 37)
(129, 152, 27)
(130, 613, 45)
(130, 829, 2)
(130, 204, 22)
(130, 812, 34)
(130, 176, 32)
(130, 981, 7)
(130, 599, 30)
(130, 389, 18)
(130, 639, 9)
(130, 937, 13)
(130, 608, 48)
(130, 170, 6)
(130, 668, 11)
(130, 903, 31)
(130, 443, 21)
(130, 291, 10)
(130, 421, 39)
(130, 757, 40)
(130, 381, 39)
(130, 505, 13)
(130, 334, 49)
(130, 306, 10)
(130, 378, 26)
(130, 173, 47)
(131, 456, 4)
(131, 334, 5)
(131, 829, 39)
(131, 956, 24)
(131, 462, 37)
(131, 264, 21)
(131, 358, 8)
(131, 758, 43)
(131, 200, 10)
(131, 981, 12)
(131, 276, 41)
(131, 260, 25)
(132, 902, 25)
(132, 928, 33)
(132, 209, 40)
(132, 491, 47)
(132, 769, 29)
(132, 479, 2)
(132, 356, 40)
(132, 664, 28)
(132, 819, 36)
(132, 397, 50)
(132, 267, 26)
(132, 409, 40)
(132, 467, 8)
(132, 544, 32)
(132, 593, 45)
(133, 592, 26)
(133, 456, 21)
(133, 914, 43)
(133, 502, 31)
(133, 717, 34)
(133, 761, 37)
(133, 549, 32)
(133, 827, 4)
(133, 542, 18)
(133, 876, 6)
(133, 882, 19)
(133, 832, 6)
(133, 553, 28)
(133, 869, 45)
(133, 492, 31)
(133, 583, 41)
(134, 655, 22)
(134, 976, 24)
(134, 544, 33)
(134, 755, 19)
(134, 477, 45)
(134, 179, 9)
(134, 822, 8)
(134, 632, 13)
(134, 496, 40)
(134, 653, 6)
(134, 542, 32)
(134, 455, 49)
(134, 863, 39)
(134, 985, 47)
(134, 929, 12)
(134, 334, 41)
(135, 617, 20)
(135, 814, 2)
(135, 243, 19)
(135, 591, 41)
(135, 507, 13)
(135, 921, 43)
(135, 689, 11)
(135, 191, 24)
(135, 453, 25)
(135, 893, 2)
(135, 280, 25)
(135, 475, 34)
(135, 211, 32)
(135, 200, 9)
(135, 819, 46)
(136, 922, 3)
(136, 712, 8)
(136, 275, 39)
(136, 686, 19)
(136, 403, 27)
(136, 742, 11)
(136, 345, 20)
(136, 246, 32)
(136, 970, 4)
(136, 795, 41)
(136, 619, 26)
(136, 155, 12)
(136, 735, 35)
(136, 462, 28)
(137, 594, 2)
(137, 391, 14)
(137, 224, 16)
(137, 855, 44)
(137, 305, 7)
(137, 386, 20)
(137, 618, 14)
(137, 206, 2)
(137, 941, 26)
(137, 577, 48)
(137, 444, 6)
(137, 609, 23)
(137, 262, 10)
(137, 778, 13)
(137, 792, 35)
(137, 296, 17)
(137, 931, 10)
(137, 284, 33)
(137, 519, 50)
(138, 905, 12)
(138, 869, 15)
(138, 325, 23)
(138, 896, 26)
(138, 226, 8)
(138, 319, 11)
(138, 432, 20)
(138, 308, 19)
(138, 380, 6)
(138, 709, 42)
(138, 756, 8)
(138, 366, 12)
(138, 780, 42)
(138, 348, 2)
(138, 512, 47)
(138, 698, 45)
(138, 552, 2)
(138, 768, 16)
(138, 728, 19)
(139, 373, 4)
(139, 378, 19)
(139, 905, 19)
(139, 312, 49)
(139, 576, 50)
(139, 726, 23)
(139, 915, 30)
(139, 253, 34)
(139, 315, 30)
(139, 702, 22)
(139, 882, 50)
(139, 533, 10)
(139, 699, 42)
(140, 519, 20)
(140, 684, 13)
(140, 788, 27)
(140, 430, 41)
(140, 728, 46)
(140, 380, 42)
(140, 249, 31)
(140, 790, 47)
(140, 448, 47)
(140, 431, 13)
(140, 702, 48)
(140, 326, 30)
(140, 181, 30)
(140, 529, 14)
(140, 579, 7)
(140, 145, 48)
(140, 286, 1)
(141, 186, 7)
(141, 908, 11)
(141, 491, 32)
(141, 962, 29)
(141, 558, 21)
(141, 263, 11)
(141, 328, 6)
(141, 387, 33)
(141, 473, 50)
(141, 746, 7)
(141, 882, 42)
(141, 172, 26)
(141, 764, 8)
(141, 711, 25)
(141, 403, 38)
(142, 405, 39)
(142, 867, 10)
(142, 299, 41)
(142, 871, 40)
(142, 396, 26)
(142, 762, 46)
(142, 424, 22)
(142, 981, 39)
(142, 344, 41)
(142, 661, 37)
(142, 199, 38)
(142, 950, 36)
(142, 688, 27)
(142, 926, 30)
(143, 850, 21)
(143, 614, 38)
(143, 822, 40)
(143, 409, 32)
(143, 283, 8)
(143, 439, 22)
(143, 353, 41)
(143, 161, 33)
(143, 770, 20)
(143, 549, 45)
(143, 838, 48)
(143, 896, 11)
(143, 963, 32)
(143, 424, 36)
(143, 773, 9)
(143, 841, 42)
(143, 514, 35)
(143, 852, 18)
(143, 459, 48)
(143, 336, 10)
(143, 527, 34)
(144, 268, 38)
(144, 159, 44)
(144, 765, 41)
(144, 715, 4)
(144, 539, 5)
(144, 681, 21)
(144, 475, 12)
(144, 427, 12)
(144, 243, 12)
(144, 783, 27)
(144, 580, 36)
(144, 173, 42)
(144, 596, 29)
(144, 586, 48)
(144, 685, 15)
(144, 707, 5)
(144, 567, 3)
(144, 443, 34)
(145, 884, 10)
(145, 192, 13)
(145, 247, 48)
(145, 545, 31)
(145, 291, 49)
(145, 167, 1)
(145, 876, 40)
(145, 967, 3)
(145, 485, 49)
(145, 529, 45)
(145, 250, 20)
(145, 742, 41)
(145, 328, 14)
(145, 823, 1)
(145, 628, 27)
(145, 565, 14)
(145, 327, 39)
(145, 503, 6)
(145, 618, 31)
(145, 604, 6)
(145, 824, 38)
(145, 481, 33)
(145, 856, 25)
(145, 693, 21)
(146, 661, 47)
(146, 696, 26)
(146, 310, 5)
(146, 215, 19)
(146, 717, 24)
(146, 907, 26)
(146, 404, 1)
(146, 946, 19)
(146, 883, 40)
(146, 937, 30)
(146, 385, 42)
(146, 410, 31)
(146, 480, 42)
(146, 561, 21)
(146, 169, 40)
(146, 456, 30)
(146, 198, 26)
(146, 876, 46)
(147, 537, 28)
(147, 880, 38)
(147, 291, 50)
(147, 567, 25)
(147, 732, 49)
(147, 285, 11)
(147, 872, 46)
(147, 942, 28)
(147, 523, 18)
(147, 651, 33)
(147, 351, 14)
(147, 893, 7)
(147, 612, 41)
(147, 520, 27)
(147, 751, 35)
(147, 200, 46)
(148, 299, 30)
(148, 218, 50)
(148, 924, 33)
(148, 950, 21)
(148, 411, 9)
(148, 468, 2)
(148, 769, 45)
(148, 277, 50)
(148, 729, 9)
(148, 931, 41)
(148, 968, 27)
(148, 758, 5)
(148, 820, 12)
(148, 661, 1)
(148, 256, 23)
(148, 487, 17)
(149, 853, 21)
(149, 274, 16)
(149, 557, 25)
(149, 663, 27)
(149, 987, 18)
(149, 422, 33)
(149, 383, 15)
(149, 451, 9)
(149, 329, 28)
(149, 564, 46)
(149, 576, 29)
(149, 861, 48)
(149, 256, 4)
(149, 936, 48)
(149, 340, 12)
(149, 196, 9)
(149, 491, 9)
(149, 631, 16)
(149, 167, 27)
